active,"src/gov/nasa/worldwindx/applications/dataimporter/LayersMenu.java 27 Embedded Strings ""Layers"" super(""Layers""); String"
active,"src/gov/nasa/worldwindx/applications/eurogeoss/CatalogPanel.java 23 Embedded Strings ""Search"" protected static final String SEARCH_BUTTON_TEXT = ""Search""; String"
active,"src/gov/nasa/worldwindx/applications/eurogeoss/CatalogPanel.java 24 Embedded Strings ""Cancel"" protected static final String CANCEL_BUTTON_TEXT = ""Cancel""; String"
active,"src/gov/nasa/worldwindx/applications/eurogeoss/CatalogPanel.java 25 Embedded Strings ""More"" protected static final String MORE_BUTTON_TEXT = ""More""; String"
T,"src/gov/nasa/worldwindx/applications/eurogeoss/CatalogPanel.java 180 Embedded Strings ""No results"" JOptionPane.showMessageDialog(CatalogPanel.this, ""No results"", null, Method: showMessageDialog"
T,"src/gov/nasa/worldwindx/applications/eurogeoss/CatalogPanel.java 228 Embedded Strings ""Unable to search catalog"" JOptionPane.showMessageDialog(CatalogPanel.this, ""Unable to search catalog"", null, Method: showMessageDialog"
active,"src/gov/nasa/worldwindx/applications/eurogeoss/EuroGeossApp.java 32 Embedded Strings ""EuroGEOSS Catalog"" protected static final String EUROGEOSS_SERVICE_TITLE = ""EuroGEOSS Catalog""; String"
active,"src/gov/nasa/worldwindx/applications/eurogeoss/EuroGeossApp.java 34 Embedded Strings ""NASA Earth Observations (NEO) WMS"" protected static final String NEO_SERVICE_TITLE = ""NASA Earth Observations (NEO) WMS""; String"
active,"src/gov/nasa/worldwindx/applications/eurogeoss/EuroGeossApp.java 96 Embedded Strings ""Layers"" this.tabbedPane.add(""Layers"", this.layerManagerPanel); String"
active,"src/gov/nasa/worldwindx/applications/eurogeoss/EuroGeossApp.java 148 Embedded Strings ""World Wind Application"" System.setProperty(""com.apple.mrj.application.apple.menu.about.name"", ""World Wind Application""); String"
active,"src/gov/nasa/worldwindx/applications/eurogeoss/EuroGeossApp.java 188 Embedded Strings ""World Wind EuroGEOSS Client"" start(""World Wind EuroGEOSS Client"", AppFrame.class); String"
active,"src/gov/nasa/worldwindx/applications/eurogeoss/GetRecordsRequest.java 94 Embedded Strings ""full"" sb.append(""full""); String"
active,"src/gov/nasa/worldwindx/applications/eurogeoss/RecordPanel.java 121 Embedded Strings ""Untitled"" return WWUtil.isEmpty(this.record.getTitle()) ? ""Untitled"" : this.record.getTitle(); String"
active,"src/gov/nasa/worldwindx/applications/eurogeoss/RecordPanel.java 137 Embedded Strings ""No layers"" sb.append(""No layers""); String"
active,"src/gov/nasa/worldwindx/applications/eurogeoss/RecordPanel.java 144 Embedded Strings ""Invalid layers"" sb.append(""Invalid layers""); String"
active,"src/gov/nasa/worldwindx/applications/eurogeoss/RecordPanel.java 216 Embedded Strings ""Record has no WMS online resources "" String msg = ""Record has no WMS online resources "" + this.record.getTitle(); String"
active,"src/gov/nasa/worldwindx/applications/eurogeoss/RecordPanel.java 240 Embedded Strings "", using all layers"" String msg = ""Online resource has no name "" + onlineResource + "", using all layers""; String"
active,"src/gov/nasa/worldwindx/applications/eurogeoss/RecordPanel.java 240 Embedded Strings ""Online resource has no name "" String msg = ""Online resource has no name "" + onlineResource + "", using all layers""; String"
active,"src/gov/nasa/worldwindx/applications/eurogeoss/RecordPanel.java 257 Embedded Strings ""Unable to find layer for online resource "" String msg = ""Unable to find layer for online resource "" + onlineResource; String"
active,"src/gov/nasa/worldwindx/applications/eurogeoss/RecordPanel.java 269 Embedded Strings ""Exception creating layer for online resource "" String msg = ""Exception creating layer for online resource "" + onlineResource; String"
active,"src/gov/nasa/worldwindx/applications/glider/GliderImageLayer.java 69 Embedded Strings ""Unnamed Layer"" return this.image != null ? this.image.getName() : ""Unnamed Layer""; String"
active,"src/gov/nasa/worldwindx/applications/sar/AboutDialog.java 96 Embedded Strings ""Exception while displaying content dialog"" String message = ""Exception while displaying content dialog""; String"
active,"src/gov/nasa/worldwindx/applications/sar/AboutDialog.java 124 Embedded Strings ""Exception while fetching content"" String message = ""Exception while fetching content""; String"
T,"src/gov/nasa/worldwindx/applications/sar/AnalysisPanel.java 186 Embedded Strings ""Terrain Profile"" this.terrainProfileFrame = new JFrame(""Terrain Profile""); Method: JFrame"
T,"src/gov/nasa/worldwindx/applications/sar/AnalysisPanel.java 194 Embedded Strings ""Cloud Contour"" this.cloudCeilingFrame = new JFrame(""Cloud Contour""); Method: JFrame"
T,"src/gov/nasa/worldwindx/applications/sar/BulkDownloadFrame.java 26 Embedded Strings ""Bulk Download"" this.setTitle(""Bulk Download""); Method: setTitle"
T,"src/gov/nasa/worldwindx/applications/sar/BulkDownloadFrame.java 38 Embedded Strings ""Cancel all active downloads?"" int choice = JOptionPane.showConfirmDialog(frameInstance, ""Cancel all active downloads?"", Method: showConfirmDialog"
T,"src/gov/nasa/worldwindx/applications/sar/BulkDownloadFrame.java 39 Embedded Strings ""Active downloads"" ""Active downloads"", JOptionPane.OK_CANCEL_OPTION, JOptionPane.QUESTION_MESSAGE); Method: showConfirmDialog"
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeiling.java 492 Embedded Strings ""color"" restorableSupport.addStateValueAsString(""color"", encodedColor); String"
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeiling.java 498 Embedded Strings ""positions"" RestorableSupport.StateObject positionsStateObj = restorableSupport.addStateObject(""positions""); String"
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeiling.java 508 Embedded Strings ""position"" restorableSupport.addStateObject(positionsStateObj, ""position""); String"
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeiling.java 525 Embedded Strings ""radius"" restorableSupport.addStateValueAsDouble(""radius"", this.radius); String"
