active,"src/gov/nasa/worldwindx/applications/dataimporter/FileSetTableModel.java 26 Embedded Strings ""Preview"" new String[]{""Key"", ""Preview"", ""Dataset Name"", ""Scale"", ""Type"", ""Files""}; String",src/gov/nasa/worldwindx/applications/dataimporter/FileSetTableModel.java,26,724,1,"""Preview""","new String[]{""Key"", ""Preview"", ""Dataset Name"", ""Scale"", ""Type"", ""Files""};",1,String
active,"src/gov/nasa/worldwindx/applications/dataimporter/FileSetTableModel.java 26 Embedded Strings ""Key"" new String[]{""Key"", ""Preview"", ""Dataset Name"", ""Scale"", ""Type"", ""Files""}; String",src/gov/nasa/worldwindx/applications/dataimporter/FileSetTableModel.java,26,717,1,"""Key""","new String[]{""Key"", ""Preview"", ""Dataset Name"", ""Scale"", ""Type"", ""Files""};",1,String
active,"src/gov/nasa/worldwindx/applications/dataimporter/FileSetTableModel.java 121 Embedded Strings ""unknown"" return ""unknown""; String",src/gov/nasa/worldwindx/applications/dataimporter/FileSetTableModel.java,121,2921,1,"""unknown""","return ""unknown"";",3,String
active,"src/gov/nasa/worldwindx/applications/dataimporter/FileStoreDataSet.java 28 Embedded Strings ""Imagery"" public static final String IMAGERY = ""Imagery""; String",src/gov/nasa/worldwindx/applications/dataimporter/FileStoreDataSet.java,28,803,1,"""Imagery""","public static final String IMAGERY = ""Imagery"";",1,String
active,"src/gov/nasa/worldwindx/applications/dataimporter/FileStoreDataSet.java 29 Embedded Strings ""Elevation"" public static final String ELEVATION = ""Elevation""; String",src/gov/nasa/worldwindx/applications/dataimporter/FileStoreDataSet.java,29,858,1,"""Elevation""","public static final String ELEVATION = ""Elevation"";",1,String
active,"src/gov/nasa/worldwindx/applications/dataimporter/FileStoreDataSet.java 160 Embedded Strings ""Sector"" Sector sector = WWXML.getSector(domElement, ""Sector"", null); String",src/gov/nasa/worldwindx/applications/dataimporter/FileStoreDataSet.java,160,5252,1,"""Sector""","Sector sector = WWXML.getSector(domElement, ""Sector"", null);",1,String
T,"src/gov/nasa/worldwindx/applications/dataimporter/FileStoreDataSet.java 168 Embedded Strings ""Layer"" if (type.equalsIgnoreCase(""Layer"")) String",src/gov/nasa/worldwindx/applications/dataimporter/FileStoreDataSet.java,168,5598,1,"""Layer""","if (type.equalsIgnoreCase(""Layer""))",1,String
T,"src/gov/nasa/worldwindx/applications/dataimporter/FileStorePanel.java 66 Embedded Strings ""Filter by Visibility"" final JCheckBox cb = new JCheckBox(""Filter by Visibility""); Method: JCheckBox",src/gov/nasa/worldwindx/applications/dataimporter/FileStorePanel.java,66,2192,1,"""Filter by Visibility""","final JCheckBox cb = new JCheckBox(""Filter by Visibility"");",1,Method: JCheckBox
active,"src/gov/nasa/worldwindx/applications/dataimporter/FileStorePanel.java 238 Embedded Strings ""\nThis operation cannot be undone."" String msg = ""Delete "" + dataSet.getName() + ""?"" + ""\nThis operation cannot be undone.""; String",src/gov/nasa/worldwindx/applications/dataimporter/FileStorePanel.java,238,8199,1,"""\nThis operation cannot be undone.""","String msg = ""Delete "" + dataSet.getName() + ""?"" + ""\nThis operation cannot be undone."";",0,String
active,"src/gov/nasa/worldwindx/applications/dataimporter/FileStorePanel.java 238 Embedded Strings ""Delete "" String msg = ""Delete "" + dataSet.getName() + ""?"" + ""\nThis operation cannot be undone.""; String",src/gov/nasa/worldwindx/applications/dataimporter/FileStorePanel.java,238,8161,1,"""Delete ""","String msg = ""Delete "" + dataSet.getName() + ""?"" + ""\nThis operation cannot be undone."";",0,String
T,"src/gov/nasa/worldwindx/applications/dataimporter/FileStorePanel.java 239 Embedded Strings ""Verify Data Deletion"" int status = JOptionPane.showConfirmDialog(this, msg, ""Verify Data Deletion"", Method: showConfirmDialog",src/gov/nasa/worldwindx/applications/dataimporter/FileStorePanel.java,239,8304,1,"""Verify Data Deletion""","int status = JOptionPane.showConfirmDialog(this, msg, ""Verify Data Deletion"",",1,Method: showConfirmDialog
active,"src/gov/nasa/worldwindx/applications/dataimporter/FileStoreTableModel.java 22 Embedded Strings ""Size (MB)"" new String[]{""Key"", ""Dataset"", ""Type"", ""Size (MB)""}; String",src/gov/nasa/worldwindx/applications/dataimporter/FileStoreTableModel.java,22,622,1,"""Size (MB)""","new String[]{""Key"", ""Dataset"", ""Type"", ""Size (MB)""};",2,String
active,"src/gov/nasa/worldwindx/applications/dataimporter/FileStoreTableModel.java 22 Embedded Strings ""Type"" new String[]{""Key"", ""Dataset"", ""Type"", ""Size (MB)""}; String",src/gov/nasa/worldwindx/applications/dataimporter/FileStoreTableModel.java,22,614,1,"""Type""","new String[]{""Key"", ""Dataset"", ""Type"", ""Size (MB)""};",1,String
active,"src/gov/nasa/worldwindx/applications/dataimporter/FileStoreTableModel.java 22 Embedded Strings ""Key"" new String[]{""Key"", ""Dataset"", ""Type"", ""Size (MB)""}; String",src/gov/nasa/worldwindx/applications/dataimporter/FileStoreTableModel.java,22,596,1,"""Key""","new String[]{""Key"", ""Dataset"", ""Type"", ""Size (MB)""};",1,String
active,"src/gov/nasa/worldwindx/applications/dataimporter/LayersMenu.java 27 Embedded Strings ""Layers"" super(""Layers""); String",src/gov/nasa/worldwindx/applications/dataimporter/LayersMenu.java,27,701,1,"""Layers""","super(""Layers"");",1,String
active,"src/gov/nasa/worldwindx/applications/eurogeoss/CatalogPanel.java 23 Embedded Strings ""Search"" protected static final String SEARCH_BUTTON_TEXT = ""Search""; String",src/gov/nasa/worldwindx/applications/eurogeoss/CatalogPanel.java,23,680,1,"""Search""","protected static final String SEARCH_BUTTON_TEXT = ""Search"";",1,String
active,"src/gov/nasa/worldwindx/applications/eurogeoss/CatalogPanel.java 24 Embedded Strings ""Cancel"" protected static final String CANCEL_BUTTON_TEXT = ""Cancel""; String",src/gov/nasa/worldwindx/applications/eurogeoss/CatalogPanel.java,24,746,1,"""Cancel""","protected static final String CANCEL_BUTTON_TEXT = ""Cancel"";",1,String
active,"src/gov/nasa/worldwindx/applications/eurogeoss/CatalogPanel.java 25 Embedded Strings ""More"" protected static final String MORE_BUTTON_TEXT = ""More""; String",src/gov/nasa/worldwindx/applications/eurogeoss/CatalogPanel.java,25,810,1,"""More""","protected static final String MORE_BUTTON_TEXT = ""More"";",1,String
T,"src/gov/nasa/worldwindx/applications/eurogeoss/CatalogPanel.java 180 Embedded Strings ""No results"" JOptionPane.showMessageDialog(CatalogPanel.this, ""No results"", null, Method: showMessageDialog",src/gov/nasa/worldwindx/applications/eurogeoss/CatalogPanel.java,180,7049,1,"""No results""","JOptionPane.showMessageDialog(CatalogPanel.this, ""No results"", null,",1,Method: showMessageDialog
T,"src/gov/nasa/worldwindx/applications/eurogeoss/CatalogPanel.java 228 Embedded Strings ""Unable to search catalog"" JOptionPane.showMessageDialog(CatalogPanel.this, ""Unable to search catalog"", null, Method: showMessageDialog",src/gov/nasa/worldwindx/applications/eurogeoss/CatalogPanel.java,228,8606,1,"""Unable to search catalog""","JOptionPane.showMessageDialog(CatalogPanel.this, ""Unable to search catalog"", null,",1,Method: showMessageDialog
active,"src/gov/nasa/worldwindx/applications/eurogeoss/EuroGeossApp.java 32 Embedded Strings ""EuroGEOSS Catalog"" protected static final String EUROGEOSS_SERVICE_TITLE = ""EuroGEOSS Catalog""; String",src/gov/nasa/worldwindx/applications/eurogeoss/EuroGeossApp.java,32,1077,1,"""EuroGEOSS Catalog""","protected static final String EUROGEOSS_SERVICE_TITLE = ""EuroGEOSS Catalog"";",4,String
